id,year_reported_to_cdp, account_number, organization, city, country, cdp_region, reporting_authority, access, climate_hazard, adaptation_action, action_title, status_of_action, co_benefit_area, action_description_and_implementation_progress, finance_status, total_cost_of_project, total_cost_provided_by_the_local_government, primary_source_fund, web_link, population, population_year, city_location, last_update,,,,,,,,,,,,,,,
4619,2019,840521,City of Denizli,,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Extreme hot temperature > Heat wave,Other: Transportation: To use materials suitable for extreme hot and cold climate on highways,Design of highways in accordance with extreme hot and cold climate conditions.,Pre-feasibility study,"Improved access to and quality of mobility services and infrastructure, Improved resource efficiency (e.g. food, water, energy)","Target: To prevent damage to the infrastructure from extreme climate events with regular maintenance and technological investments	 Stakeholders: Ministry of Transport and Infrastructure, DMM Ulasim A.Ş., General Directorate of Highways  Associated Risk:  Excessive rainfall causes damage to road transportation infrastructure Extreme heat damage to the highway  Extreme cold and icing, accident risk and adverse impacts on vehicle traffic  Disruption of transportation by landslides due to excessive rainfall and snowstorm  Disruption of transportation by closed roads due to excessive snowfall and inaccessible village roads.  Action Severity Rating:	Primary  Activities to be Conducted:  Make road pavements compatible with climate change Making roads that are resistant to heavy rainfall and making drains compatible  Studying road materials that are more resistant to rapid changes in hot or cold weather to reduce repair costs, improve safety and improve road surfaces",Pre-feasibility study status,,,,,1027782,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4620,2019,841153,Municipalidad de Bellavista,,Peru,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Water Scarcity > Drought,Improve water supply distribution method,Planta de Tratamiento de Aguas Residuales,Implementation,"Enhanced climate change adaptation, Reduced GHG emissions","•	Implementación de una Planta de Tratamiento de Aguas Residuales.•	Sistema adecuado de riego para parques y jardines.Largo Plazo:En los últimos cinco años y parte del 2019 el Distrito de Bellavista ha gastado más de 23 millones de soles en pagos a SEDAPAL, este monto total incluye el riego de áreas verdes, parques y jardines públicos con agua potable, esto representa un monto mucho mayor si tomamos en cuenta el impacto social y ambiental de regar con agua potable. L Municipalidad Distrital de Bellavista cuenta con aproximadamente 299,413.57 m2, de áreas verdes; las cuales están siendo regadas con agua potable.Por lo expuesto anteriormente, la Municipalidad Distrital de Bellavista, propuso el diseño de una Planta de Tratamiento de Aguas Residuales Domésticas, para el riego de parques y jardines, de aproximadamente 200 m3 al día, el cual ya se encuentra registrado como proyecto idea; este proyecto beneficiará a toda la población del distrito.",Pre-feasibility study status,6,5,Local,"Código de Idea 54941:  CREACIÓN DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL DISTRITO DE BELLAVISTA - PROVINCIA DE PROVINCIA CONSTITUCIONAL DEL CALLAO - DEPARTAMENTO DE CALLAO - PROYECTO DE INVERSIÓN - 4/11/19 15:59 - 5.000.000,00",74,17,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4621,2019,834246,Municipality of Gemona del Friuli,,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Extreme Precipitation > Rain storm,Public preparedness (including practice exercises/drills),,,,,,,,,,11135,2013,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4622,2018,31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Rain storm,Crisis management including warning and evacuation systems,,Implementation,,>Provide real-time information on rainfall and river water levels. >Provide flood evacuation information such as inundation maps and hazard maps.,,,,,,13857664,2017,POINT (139.41 35.41),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4623,2018,58569,City of Podgorica,Podgorica,Montenegro,Europe,CDP Cities,public,Drought,Community engagement/education,,Pre-implementation,,o,The Strategy defines measures related to the fight against drought that implementation has begun. One of them is Introduction of species of vegetation that is resistant to extreme weather conditions which implies to intensify the use of native species. Further explanation: Species naturally spread in an area, species that tolerate extreme conditions in local environment well (high summer temperatures, high frequency of droughts, strong wind blows). Relevant location(s) in Podgorica: all green areas maintained by the Greenery LLC. Additional benefits: minimized water consumption, reduced maintenance costs. Measure complexity: Long-term. o,Other measure is Introduction of species with relevant vegetation period. It is mean adjustment of agricultural practices, improving the microclimate conditions for agricultural production. Relevant location(s) in Podgorica: for the area of City Municipalities of Tuzi and Golubovci. Additional benefits: training of agricultural producers, adaptation of planting dates, access to new species, land management, efficient use of fertilizers, irrigation, crop insurance, increase in yields. Measure complexity: very complex. Competent authority / organization: agricultural producers.,,,,,,185937,2011,POINT (19.2594 42.4304),2019-11-29T08:49:03.203,65
4624,2019,58357,City of West Hollywood,West Hollywood,United States of America,North America,"CDP Cities, Global Covenant of Mayors",public,Wild fire > Forest fire,Resilience and resistance measures for buildings,,Operation,,"The City has adopted the 2016 LA County Fire Code and offers LA County CERT training to residents, encourages residents to sign up for Alert LA mass emergency notification system",,,,,,34399,2010,POINT (-118.362 34.09),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4625,2018,35874,City of Phoenix,Phoenix,United States of America,North America,CDP Cities,public,Extreme hot days,Community engagement/education,,Operation,,The City has recently developed a new Summer Safety program as and education and awareness program for residents and businesses https://www.phoenix.gov/pio/summer,,,,,,1615017,2016,POINT (-112.074 33.4484),2019-11-29T08:49:03.203,59,,,,,,,,,,,,,,
4626,2018,31113,City of Yokohama,Yokohama,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,River flood,Additional reservoirs and wells for water storage,,Operation,,"Development of rainwater adjustment reservoir, retarding basin and dry well",,,,,,3731096,2017,POINT (139.638 35.4437),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4627,2019,840514,Blitar City,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Mass movement > Vector-borne disease,Disease prevention measures,"Prevent the breeding of aedes agypty mosquitoes through 3M activities (draining, closing and burying). It needs to be drained 2 times a bath tub. Closing places / containers that are at risk of becoming mosquito nests. and burying used cans that are at risk of becoming a waterlogging place 2. forming a jumantik cadre (larva monitor). These cadres are tasked with checking public bathroom tubs for mosquito larvae. 3. fill the tubs with fish. 4. maintain environmental cleanliness 5. Plant mosquito repellent plants around the house (for example lemongrass or lavender). 6. use of mosquito repellent drugs",Implementation,Improved public health,"the prevention of dengue fever which is the main task and function of the health office has carried out an environmental health program every year. Among them:1. has issued a letter of assignment to the Jumantik Officers in each village in each kelurahan,2. carry out counseling and socialization about maintaining environmental cleanliness3. standard or mechanism for reporting related to the incidence of dengue fever",Finance secured,150000000,150000000,Local,,140971,2018,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4628,2019,35449,Stadt Zürich,Zürich,Switzerland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,Disease prevention measures,Monitoring and fight against invasive species (tige mosquito e.a.),Operation,,,"Feasibility finalized, and finance partially secured",,,Local,,428737,2018,POINT (8.53918 47.3686),2019-11-29T08:56:56.313,38,,,,,,,,,,,,,,
4629,2018,50578,City of Windsor,Windsor,Canada,North America,CDP Cities,public,Flash/surface flood,Flood defences – development and operation & storage,,Operation,,"Mandatory downspout disconnection and mandatory backwater valves. Enhance sewer maintenance and CCTV monitoring.Sewer flow modelling consideration of additional off-line storage for storm-water. Increase of priority sewers.Public education (and targetted education).Green roof policy.Porous pavement pilot projects and development guidelines. Tree planting, installing rain gardens and improving/enhancing green space. Weather response guidelines to.Incorporate climate change adaptation into city policies and high level plans. Create internal mechanism to 'ask the climate question' for new major infrastructure projects.",,,,,,217188,2016,POINT (-83.0364 42.3149),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
4630,2019,50568,City of Saskatoon,Saskatoon,Canada,North America,"CDP Cities, Global Covenant of Mayors",public,Mass movement > Insect infestation,Disease prevention measures,Urban Forestry Management Plan,Implementation,"Ecosystem preservation and biodiversity improvement, Enhanced climate change adaptation, Enhanced resilience, Resource conservation (e.g. soil, water)",This action is in-progress and specific to tree health (not public health). Work underway supports activities looking to prepare for and respond to the Cottony Ash Psyllid and Dutch Elm Disease infestations.,"Feasibility finalized, and finance partially secured",,,Local,https://www.saskatoon.ca/sites/default/files/documents/corporate-performance/environmental-corporate-initiatives/climate-change/2016_-_report_-_existing_climate_change_adaptation_strategies.pdf,272200,2019,POINT (-106.67 52.1332),2019-11-29T08:56:56.313,21,,,,,,,,,,,,,,
4631,2019,36286,Comune di Ferrara,Ferrara,Italy,Europe,"CDP Cities, Global Covenant of Mayors",public,,Maintenance/repair – leaking infrastructure,Networks vs climate change,Scoping,"Disaster preparedness, Disaster Risk Reduction, Enhanced resilience, Improved access to data for informed decision-making","The ultimate goal of the action is to increase the resilience of energy distribution networks (electricity, natural gas, district heating, public lighting) compared to climate change, starting from a vulnerability analysis of the networks themselves by the operators.The following activities are foreseen: 1. meeting between Municipal Administrations, Civil Protection and the Europe Office, aimed at share, through an examination of the most critical issues recently faced in relation to climate change, information and good practices; 2. technical analysis, through the involvement of sector experts, for the definition of common climate change scenarios to be transmitted to network operators as assumptions by adopt in vulnerability analysis; 3. definition of appropriate information channels to give visibility to the contribution and collaboration of management companies; 4. formal request to the managers; 5. carrying out the vulnerability analysis (mapping); 6. sharing the results with the Municipal Administrations; 7. identification of critical points; 8. prioritization and planning of necessary interventions.The analyzes and interventions are under the responsibility of the network managers.The Municipality of Ferrara intends to extend the measures applicable to its own public lighting network.",Pre-feasibility study status,,,Public-private partnership,,132009,2017,POINT (11.619 44.8357),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4632,2019,50558,"City of London, ON","London, ON",Canada,North America,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > River flood,Flood mapping,Updated floodplain mapping is being done to verify the extent of the revised floodplain based on more accurate measurement tools and updated modelling.,Implementation,Disaster Risk Reduction,"In Ontario, after Hurricane Hazel in in the 1950s, the provincial government established Conservation Authorities for each watershed to manage the risk of future flood through flood control infrastructure, and by placing restrictions on development in flood plains. The recent change in provincial government may slow funding for CA's to accomplish this work, however most of London which is vulnerable to flooding has been effectively managed by property acquisition, flooding infrastructure and / or floodplain land use planning regulations.  Fanshawe Dam provides  substantial flood protection for portions of London and an extensive dyke system of 8 dykes protect the most vulnerable to flooding neighbourhoods.  The West London Dyke is 2 km long and protects 1,200 structures from flooding.  Recent upgrades to the dyke has completed one phase of raising the height of the dyke to reflect a higher factor of safety.  A master repair plan for the dyke provides maintenance direction for the time period until  2033 . The Master Repair Plan outlines the future costs anticipated for maintenance.",Feasibility undertaken,32000000,32000000,Local,http://thamesriver.on.ca/water-management/london-dyke-system/west-london-dyke/wld-current-projects/,387000,2017,POINT (-81.2497 42.9837),2019-11-29T08:56:56.313,42,,,,,,,,,,,,,,
4633,2019,3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Water Scarcity > Drought,Retrofit of existing buildings,,Implementation,"Improved resource efficiency (e.g. food, water, energy), Resource conservation (e.g. soil, water)",Increase delivery of water saving measures through the Mayor's Energy for Londoners homes and workplaces retrofit programmes in 2019 and work with water companies to promote the roll out of smart water meters,,,,,,8883800,2017,POINT (-0.07868 51.5048),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4634,2019,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Storm and wind > Cyclone (Hurricane / Typhoon),Projects and policies targeted at those most vulnerable,Rainfall-Induced Flooding,Pre-implementation,"Disaster preparedness, Enhanced resilience, Improved access to and quality of mobility services and infrastructure","Since the City of West Palm Beach does not have any direct ocean-front property, storm surge associated with tropical storms and cyclones is not a big of a threat as rainfall-induced flooding from these type of climate events. Tropical systems can drop a lot of rain in a very short amount of time, causing localized flooding which was determined to be the greatest risk to the City. In the pre-implementation stage, the City has formulated a game plan to prioritize capital improvement projects (CIPs) based on vulnerable areas identified in the assessment.  The City will also coordinate with Northern Palm Beach County (another water utility) for stormwater solutions in the low-lying western communities, develop Adaptation Action Areas to do detailed resilience projects, develop policies to increase capacity beyond a 3-year event, and bolster emergency response for points of access solutions.",Pre-feasibility study status,,,,Not applicable,112906,2018,POINT (-80.0534 26.7153),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4635,2019,54641,Prefeitura de Limeira,Limeira,Brazil,Latin America,"CDP Cities, Global Covenant of Mayors",public,,,,,,,,,,,,276022,2010,POINT (-47.3974 -22.5665),2019-11-29T08:56:56.313,213,,,,,,,,,,,,,,
4636,2018,63941,"Broward County, FL",Broward,United States of America,North America,CDP Cities,public,Salt water intrusion,Awareness campaign/education to reduce water use,,Operation,,"-Conservation Pay$ Program: The Broward Water Partnership (BWP) is a partnership of local governments including 18 municipalities and water utilities who have come together to help save water, save money, and protect the environment. The BWP offers toilet rebates of up to $100 each for qualifying residents, businesses and nonprofits. BWP also offers eligible residents water-efficient showerheads and low-flow faucet aerators. Commercial kitchens can get pre-rinse spray valves.-The Broward County Environmental Planning and Community Resilience Division offers an extensive program of community education and outreach focused on water resources protection and conservation issues. “Water Matters” and “Know the Flow” programs provide education in landscape best management practices and integrated storm water management to reduce water demands and pollution.-NatureScape Broward” is a Broward County initiative designed to help residents, municipalities, businesses and schools create and maintain sustainable landscapes that conserve water, protect water quality and provide habitats for native and migratory wildlife. Broward County is home to the only Certificated Community Wildlife Habitat in Florida and has over 2,000 certified yards! NatureScape Broward hosts annual Habitat Steward training and to date has trained over 100 Habitat Stewards who participate in community education and landscape improvements and certifications. By adopting landscape best management practices best suited for our South Florida environment, we can reduce our water needs, improve water quality, minimize the need for fertilizers and chemical applications, and improve the sustainability of our environment.-The Broward County Environmental Protection and Growth Management Department (EPGMD) believes that educating school age children about the environment and their role in preserving and protecting the natural resources for the future instills environmental stewardship at an early age. In an effort to support environmental education in Broward County, the EPGMD has entered into a partnership agreement with Broward County Public Schools (BCPS), the sixth largest school district in the nation.",,,,,,1870000,2014,POINT (80.3659 26.1901),2019-11-29T08:49:03.203,107,,,,,,,,,,,,,,
4637,2019,73788,Salliqueló,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Hazard resistant infrastructure design and construction,Traslado del predio RSU,Pre-implementation,"Disaster preparedness, Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience","El predio de RSU donde está radicado el basural a cielo abierto se encuentra aguas arriba de la ciudad. Por tanto en épocas de exceso hídrico el agua escurre desde el predio a la localidad, no solo superficialmente sino subterráneamente, arrastrando muchos contaminantes nocivos.",Feasibility undertaken,,,,,8714,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4638,2019,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Storm and wind > Storm surge,Incorporating climate change into long-term planning documents,Resilience Wellington strategy,Implementation,"Enhanced climate change adaptation, Enhanced resilience","Makara is a small seafront community that suffered severe storm surge and flooding following Cyclone Gita in February 2018.  Following consultation between the council and community, a community-led planning process at Makara Beach has resulted in the community recommending short, medium and long-term adaptation measures to prepare the community for the effect of rising seas and more intense weather events. Other parts of the City will also be affected, and we intend to raise awareness of the changing climate in the Eastern suburbs and the CBD. The process undertaken in Makara is a model for success in small coastal communities but other processes will have to be applied in our larger suburbs in adapting to the impacts of a changing climate. Essentially, for Wellington this will look like learning to live with more water, utilising design principles to accommodate this and carefully considering decisions around stormwater infrastructure, roads and private investment.",Pre-feasibility study status,0,0,Local,NA,213847,2019,POINT (174.776 -41.2865),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4639,2019,31052,City of Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, Global Covenant of Mayors",public,Flood and sea level rise > Coastal flood,Flood defences – development and operation & storage,Rover Way sea defence enhancement,Pre-implementation,Enhanced climate change adaptation,"Following the approval by Cabinet in March 2018 to progress the delivery of the Rover Way to Lamby Way coastal defence scheme, a grant has been received from Welsh Government (WG) to develop the Design and Full Business Case for the coastal defence scheme, with WG funding agreed in principal for construction phase, subject to approval of the business case.Next steps:Completion of scoping report for use in tender.Tender process for full business case for preferred option to be procured via the NPS framework. Progression of full business case - anticipated for completion end of 2019.","Feasibility finalized, and finance partially secured",,,(Sub)national,,365000,2018,POINT (-3.17909 51.4816),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4640,2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"CDP Cities, C40",public,Coastal flood,Crisis management including warning and evacuation systems,,Scoping,,"A consultancy study was on going to investigate the resilience of critical infrastructures in Hong Kong under the effects of climate change and extreme weather, and to holistically examine the scope of enhancement works for strengthening the resilience of critical infrastructures.",,,,,,7391700,2017,POINT (114.14 22.2881),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4641,2019,73803,Herrera,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,,,,,,,,,,,,1767,2010,,2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4642,2018,831230,Municipality of La Marsa,La Marsa,Tunisia,Africa,CDP Cities,public,,,,,,,,,,,,,,POINT (10.3218 36.8725),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4643,2018,50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,CDP Cities,public,,,,,,,,,,,,98223,2017,POINT (-46.7402 -23.3612),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4644,2019,54623,Prefeitura de Betim,Betim,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Projects and policies targeted at those most vulnerable,,,,Implantação de obras de infraestrutura.,,,,,,378089,2010,POINT (-44.2012 -19.9673),2019-11-29T08:56:56.313,204,,,,,,,,,,,,,,
4645,2019,35886,Comune di Torino,Torino,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Tree planting and/or creation of green space,Implement green infrastructure,Implementation,"Enhanced climate change adaptation, Enhanced resilience, Reduced GHG emissions",The project plans to implement the presence of green infrastructures to counter the heat island. Benefit: to increase the liveability of urban spaces thanks to greater shadowing,Pre-feasibility study status,0,0,Local,,879004,2018,POINT (7.668 45.1006),2019-11-29T08:56:56.313,50,,,,,,,,,,,,,,
4646,2019,35860,City of Dallas,Dallas,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Water Scarcity > Drought,Other: Water conservation programs are in place.  The City also has long range plans to improve and diversify the,Save Water - Water conservation program / 2019 Drought Contingency Plan/ 2019 Water Conservation Plan,Operation,"Enhanced climate change adaptation, Enhanced resilience, Greening the economy",Extreme drought places high demands on access to public water supplies.  Actions also include a water conservation education program.,"Feasibility finalized, and finance partially secured",3914000000,3914000000,"Other: These projects will be funded over the 50 year span of the plan.  Funding sources include local funds, grants, state funds and federal funds",City of Dallas Water Conservation Web Page:https://savedallaswater.com/Long Range Water Supply Plan: https://dallascityhall.com/departments/waterutilities/DCH%20Documents/2014_LRWSP_Final_Report_all_11302015.pdfDrought Contingency Plan:https://savedallaswater.com/wp-content/uploads/2019/05/2019-City-of-Dallas-Drought-Plan_Submitted.pdf,1345047,2018,POINT (-96.8004 32.7801),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4647,2019,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Flood and sea level rise > Flash / surface flood,Flood defences – development and operation & storage,Flood Control Program,Operation,"Disaster Risk Reduction, Enhanced climate change adaptation, Enhanced resilience, Improved public health","The city is investing in big public works for urban drainage infrastructure, like the Flood Control Program of Tijuca Area, which includes three big reservoirs for storing rain water.",Finance secured,,,,http://www.rio.rj.gov.br/web/rio-aguas/obras-e-parcerias,6520266,2017,POINT (-43.5614 -22.9054),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4648,2019,54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,"Cooling centers, pools, water parks/plazas",,Implementation complete but not in operation,,"The city of Columbia already has nine cooling centers in place,  but with increasing temperatures projected  the addition of more is being explored.",,,,,,118565,2015,POINT (-92.3341 38.9517),2019-11-29T08:56:56.313,46,,,,,,,,,,,,,,
4649,2018,70017,Alcaldia de Palmira,Palmira,Colombia,Latin America,CDP Cities,public,Landslide,Landslide risk mapping,,Complete,,Cartografia dentro del POT y el Plan Municipal de Gestión del Riesgo,,,,,,308671,2017,POINT (-76.3036 3.53944),2019-11-29T08:49:03.203,146,,,,,,,,,,,,,,
4650,2018,31151,City of Basel-Stadt,Basel,Switzerland,Europe,"CDP Cities, C40",public,Extreme hot days,Community engagement/education,,Implementation,,Information of the public about recommended actions to be taken,,,,,,198988,2017,POINT (7.5928 47.5619),2019-11-29T08:49:03.203,38,,,,,,,,,,,,,,
4651,2019,35886,Comune di Torino,Torino,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Heat wave,Real time risk monitoring,Real-time surveillance system of mortality,Operation,"Enhanced climate change adaptation, Enhanced resilience","A real-time surveillance system of mortality ( throughout  the local Regional Agency for Environmental Protection) is operational, for the early warning about the anomalous trend due to the effects of  the heatwaves.",Pre-feasibility study status,,,,,879004,2018,POINT (7.668 45.1006),2019-11-29T08:56:56.313,50,,,,,,,,,,,,,,
4652,2019,20113,City of Vancouver,Vancouver,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Resilience and resistance measures for buildings,Climate Resilient Buildings,Implementation,Enhanced resilience,"Continue to incorporate new summer normals related to active cooling and thermal comfort in building policy and bylaws: encourage heat pumps, reduce cooling demand in new buildings, detailed thermal comfort guidance, exploration of future weather data for building design and modelling, etc.","Feasibility finalized, and finance partially secured",,,Local,https://vancouver.ca/green-vancouver/homes-climate.aspx,642686,2018,POINT (-123.114 49.2612),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4653,2019,36254,Comune di Venezia,Venezia,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Flood and sea level rise > Coastal flood,Crisis management including warning and evacuation systems,Alarm system for High Tide events,Monitoring and reporting,"Enhanced climate change adaptation, Enhanced resilience, Security of tenure","Tidal forecasting ,early warning (syrenes, short messages,web site and social platforms) and  plank to walk on during High Tide events are the most relevant Adaptation action to coastal flooding, active for several years..Educational activities for schools and citizens are organized every year..The National Project MOSE barriers at the three lagoon inlets are still under construction and should be active by 2022/2023. The system can ""close"" the lagoon to the sea water when 110 cm above medium sea level is reached. This is a very big infrastructure and its progress has reached the 95% but it is not projected to defense Venice frome the Sea Level Rise at long term. Mose, if and when finished, could only stop the  occasionnally  high tides. Cost: 5.500.000.000 (national fund) euro so far.1,870,000 euro is  the total cost charge to the City of Venice for 2019 (every year the amount is similar)",Finance secured,1870000,1870000,Local,web link: https://www.comune.venezia.it/it/content/centro-previsioni-e-segnalazioni-maree,260520,2018,POINT (12.3211 45.4333),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4654,2019,60292,Prefeitura de Jahu,Jahu,Brazil,Latin America,CDP Cities,public,,,,,,,,,,,,141840,2018,POINT (-48.5755 -22.3028),2019-11-29T08:56:56.313,213,,,,,,,,,,,,,,
4655,2018,54060,City of Greater Sudbury / Grand Sudbury,Sudbury,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,Promoting and incentivizing water efficiency,,Operation,,"The Residential Inflow & Infiltration Subsidy Program, Quench buggy purchased,  rainbarrel rebates, etc.https://www.greatersudbury.ca/live/water-and-wastewater-services/basement-flooding-and-preventative-plumbing/riisp-subsidy-amounts/",,,,,,160000,2011,POINT (-80.9645 46.5268),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
4656,2018,43911,City of Ottawa,Ottawa,Canada,North America,CDP Cities,public,,,,,,,,,,,,979173,2017,POINT (-75.6972 45.4215),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
4657,2018,54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,CDP Cities,public,,,,,,,,,,,,326414,2016,POINT (-60.6779 2.83067),2019-11-29T08:49:03.203,176,,,,,,,,,,,,,,
4658,2019,61427,Municipality of Nacala,Nacala,Mozambique,Africa,"CDP Cities, Global Covenant of Mayors",public,Storm and wind > Cyclone (Hurricane / Typhoon),Hazard resistant infrastructure design and construction,Build schools that are resilient to impacts of cyclones,Scoping,"Disaster preparedness, Disaster Risk Reduction, Enhanced resilience","Cyclones such as Cyclone Idai are huge sub-tropical systems that have the power to physically knock down and/ or blow away infrastructure that is not designed to withstand the high wind and heavy rain. In the case of schools this has the potential to disrupt education for weeks, if not months. The aim of this activity is to use best practice techniques to build (or re-build) schools in such a manner that the buildings have the capability to withstand the impacts of cyclones thereby ensuring that when people return to the city after the evacuation period, schools can open in a shorter turnaround time and education is not disrupted as much. Building more resilient infrastructure will also reduce long term costs associated with repeated re-building if infrastructure. Implementation for this activity has not commenced.",,,,,,224795,2019,POINT (40.6854 -14.5656),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4659,2019,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Extreme hot temperature > Extreme hot days,Resilience and resistance measures for buildings,,,,,,,,,,1614400,2016,POINT (174.742 -36.8153),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
4660,2018,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Vector-borne disease,Disease prevention measures,,Implementation,,"With the rise of the Zika virus, City operations has been active in attempting to reduce the spread of mosquitoes by limiting their breeding grounds. This includes removing areas of standing water and using pest control solutions that are complicit with the City's STAR Integrated Pest Management Policy.",,,,,,108161,2017,POINT (-80.0534 26.7153),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4661,2019,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,CDP Cities,public,Extreme hot temperature > Heat wave,Retrofit of existing buildings,Energy Efficiency Upgrades,Operation,"Enhanced climate change adaptation, Enhanced resilience, Improved resource efficiency (e.g. food, water, energy), Improved resource security (e.g. food, water, energy), Reduced GHG emissions, Shift to more sustainable behaviours","Building energy efficiency audits and upgrades make Lake Forest's buildings for resource efficient, resilient and prepared to deal with future climate change.",,,,,,19544,2018,POINT (-87.8406 42.2586),2019-11-29T08:56:56.313,42,,,,,,,,,,,,,,
4662,2018,59642,"City of Dublin, CA","Dublin, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Drought,Community engagement/education,,Operation,,"The City partners with Dublin San Ramon Services District (DSRSD) to educate the community on water conservation measures.  In addition, DSRSD offers reclaimed water for landscape irrigation.  All newly installed landscape is irrigated with reclaimed water.   The City actively reduces its water demand, particularly during drought conditions.",,,,,,63241,2017,POINT (-121.93 37.7),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
